# op	level	name	count
read File ipc/util.c 61098382868
read File kernel/acct.c 195716973
read File kernel/async.c 3623
read File kernel/audit.c 3013989
read File kernel/auditfilter.c 8760
read File kernel/auditsc.c 4217603
read File kernel/bpf/cgroup.c 138741
read File kernel/bpf/core.c 15311219469
read File kernel/capability.c 10080438
read File kernel/cgroup.c 410740925
read File kernel/cgroup_freezer.c 10672694
read File kernel/cgroup_pids.c 76764817
read File kernel/compat.c 105
read File kernel/cpuset.c 10710274
read File kernel/cred.c 323279443
read File kernel/delayacct.c 149854597
read File kernel/dma.c 1980
read File kernel/elfcore.c 0
read File kernel/events/callchain.c 1440
read File kernel/events/core.c 99562532
read File kernel/events/hw_breakpoint.c 108
read File kernel/events/uprobes.c 24987803
read File kernel/exec_domain.c 1542
read File kernel/exit.c 542717438
read File kernel/extable.c 34264
read File kernel/fork.c 1113034941
read File kernel/freezer.c 734
read File kernel/futex.c 911648567
read File kernel/futex_compat.c 63
read File kernel/groups.c 109641159
read File kernel/hung_task.c 7635279
read File kernel/irq/chip.c 186077880
read File kernel/irq/handle.c 173509626
read File kernel/irq/irqdesc.c 35040
read File kernel/irq/proc.c 166740
read File kernel/irq/spurious.c 49818976
read File kernel/irq_work.c 71515237
read File kernel/jump_label.c 106606
read File kernel/kallsyms.c 185107241
read File kernel/kcmp.c 224946
read File kernel/kexec_core.c 540
read File kernel/kmod.c 152540
read File kernel/kprobes.c 3789222
read File kernel/ksysfs.c 800
read File kernel/kthread.c 502649809
read File kernel/locking/mutex.c 528831
read File kernel/locking/percpu-rwsem.c 15246178
read File kernel/locking/rtmutex.c 7136
read File kernel/locking/rwsem-xadd.c 19607207
read File kernel/locking/rwsem.c 0
read File kernel/locking/semaphore.c 637901
read File kernel/module.c 1750
read File kernel/notifier.c 86115784
read File kernel/nsproxy.c 9443283
read File kernel/panic.c 1463
read File kernel/pid.c 1210846590
read File kernel/pid_namespace.c 216120
read File kernel/power/qos.c 10851
read File kernel/power/suspend.c 0
read File kernel/printk/printk.c 128865237
read File kernel/profile.c 60028349
read File kernel/ptrace.c 37428537
read File kernel/rcu/srcu.c 60080023
read File kernel/rcu/sync.c 141178
read File kernel/rcu/tiny.c 520807585
read File kernel/rcu/update.c 2850
read File kernel/reboot.c 232
read File kernel/resource.c 19843748
read File kernel/sched/auto_group.c 6035262
read File kernel/sched/clock.c 9016328
read File kernel/sched/completion.c 4589302
read File kernel/sched/core.c 32809485154
read File kernel/sched/cpuacct.c 18862408296
read File kernel/sched/cputime.c 716269803
read File kernel/sched/deadline.c 21702520
read File kernel/sched/debug.c 734625
read File kernel/sched/fair.c 176676856248
read File kernel/sched/idle.c 34115066
read File kernel/sched/idle_task.c 28742186
read File kernel/sched/loadavg.c 258231762
read File kernel/sched/rt.c 53242596
read File kernel/sched/stats.c 2660
read File kernel/sched/stop_task.c 10881139
read File kernel/sched/swait.c 0
read File kernel/sched/wait.c 2445658347
read File kernel/seccomp.c 900273872
read File kernel/signal.c 1492529733
read File kernel/smpboot.c 186616101
read File kernel/softirq.c 690856394
read File kernel/sys.c 203220084
read File kernel/sys_ni.c 0
read File kernel/sysctl.c 6448064
read File kernel/sysctl_binary.c 11472
read File kernel/task_work.c 201494483
read File kernel/taskstats.c 14961480
read File kernel/time/alarmtimer.c 36
read File kernel/time/clockevents.c 938391973
read File kernel/time/clocksource.c 9400625
read File kernel/time/hrtimer.c 5856566206
read File kernel/time/itimer.c 3399865
read File kernel/time/ntp.c 3348369
read File kernel/time/posix-cpu-timers.c 332632145
read File kernel/time/posix-timers.c 30298164
read File kernel/time/tick-broadcast.c 0
read File kernel/time/tick-common.c 0
read File kernel/time/tick-oneshot.c 133438340
read File kernel/time/tick-sched.c 798811417
read File kernel/time/time.c 1528771168
read File kernel/time/timekeeping.c 1702290435
read File kernel/time/timer.c 594820642
read File kernel/time/timer_list.c 52656
read File kernel/time/timer_stats.c 0
read File kernel/trace/ftrace.c 0
read File kernel/trace/trace.c 0
read File kernel/trace/trace_stack.c 0
read File kernel/tsacct.c 614261337
read File kernel/ucount.c 172298
read File kernel/up.c 0
read File kernel/user.c 467331
read File kernel/user_namespace.c 14621632879
read File kernel/utsname.c 2220
read File kernel/utsname_sysctl.c 189731
read File kernel/watchdog.c 179873
read File kernel/watchdog_hld.c 0
read File kernel/workqueue.c 1299231545
read File lib/asn1_decoder.c 12665
read File lib/assoc_array.c 29319319
read File lib/bitmap.c 14202
read File lib/bust_spinlocks.c 192
read File lib/chacha20.c 310561527
read File lib/cmdline.c 396
read File lib/debug_locks.c 58
read File lib/dec_and_lock.c 52475659
read File lib/dump_stack.c 0
read File lib/dynamic_queue_limits.c 1593
read File lib/extable.c 90628029
read File lib/find_bit.c 614582064
read File lib/flex_array.c 1226797
read File lib/flex_proportions.c 667948065
read File lib/halfmd4.c 319406676
read File lib/hexdump.c 1180
read File lib/idr.c 93320502459
read File lib/iov_iter.c 19460341386
read File lib/kasprintf.c 460517
read File lib/klist.c 4348728
read File lib/kobject.c 14799464
read File lib/kobject_uevent.c 19391480
read File lib/kstrtox.c 819502
read File lib/list_sort.c 138577447
read File lib/llist.c 125465
read File lib/lockref.c 233115375
read File lib/md5.c 65714704
read File lib/mpi/generic_mpih-mul1.c 2584
read File lib/mpi/generic_mpih-mul2.c 36176
read File lib/mpi/generic_mpih-mul3.c 41344
read File lib/mpi/mpi-bit.c 171
read File lib/mpi/mpi-cmp.c 171
read File lib/mpi/mpi-pow.c 931
read File lib/mpi/mpicoder.c 4541
read File lib/mpi/mpih-cmp.c 38
read File lib/mpi/mpih-div.c 8778
read File lib/mpi/mpih-mul.c 2641
read File lib/mpi/mpiutil.c 346
read File lib/nlattr.c 4431745
read File lib/oid_registry.c 4791
read File lib/once.c 848
read File lib/parser.c 87869
read File lib/percpu-refcount.c 951713
read File lib/plist.c 162735789
read File lib/radix-tree.c 23790358764
read File lib/random32.c 1236545
read File lib/ratelimit.c 1168913
read File lib/rbtree.c 12216628838
read File lib/rhashtable.c 20203744
read File lib/sbitmap.c 581808245
read File lib/scatterlist.c 1948433695
read File lib/sg_pool.c 1326925
read File lib/sha1.c 2251776
read File lib/sort.c 30314
read File lib/string.c 33486414
read File lib/string_helpers.c 584346215
read File lib/strncpy_from_user.c 82331020
read File lib/strnlen_user.c 67023638
read File lib/syscall.c 66880
read File lib/timerqueue.c 2043137288
read File lib/uuid.c 480
read File lib/vsprintf.c 8847269729
read File lib/win_minmax.c 3834193
read File mm.h 8494252
read File mm/backing-dev.c 2792887
read File mm/cleancache.c 5069
read File mm/compaction.c 0
read File mm/fadvise.c 345799
read File mm/filemap.c 57455307306
read File mm/frontswap.c 19130227
read File mm/gup.c 507790822
read File mm/hugetlb.c 3889967873
read File mm/hugetlb_cgroup.c 249
read File mm/interval_tree.c 5791576917
read File mm/list_lru.c 293533313
read File mm/maccess.c 43900
read File mm/madvise.c 34137719
read File mm/memcontrol.c 40300380031
read File mm/memory-failure.c 228502
read File mm/memory.c 68676424922
read File mm/mempool.c 300409116
read File mm/mincore.c 22101
read File mm/mlock.c 7532981
read File mm/mmap.c 12820295701
read File mm/mmzone.c 100524
read File mm/mprotect.c 1777591226
read File mm/mremap.c 34493284
read File mm/msync.c 1764086
read File mm/oom_kill.c 82007
read File mm/page-writeback.c 42116643479
read File mm/page_alloc.c 37355298093
read File mm/page_counter.c 1412379177
read File mm/page_idle.c 0
read File mm/page_io.c 23844155
read File mm/pagewalk.c 42600526
read File mm/percpu.c 31339917
read File mm/pgtable-generic.c 187867825
read File mm/process_vm_access.c 8740
read File mm/readahead.c 267631947
